time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
55.00000287,0.02111709,0.03986438,0.00002344,529387.00000000,0.07254009,0.000000,0.000000
55.01666954,0.02115538,0.00841548,0.00001031,529346.00000000,0.03245049,0.000000,0.000000
55.03333620,0.02117446,0.00652769,0.00001169,531728.00000000,0.02682226,0.000000,0.000000
55.05000287,0.02122021,0.00642236,0.00001878,533686.00000000,0.03480661,0.000000,0.000000
55.06666954,0.02136671,0.02877967,0.00001081,535500.00000000,0.06502362,0.000000,0.000000
55.08333621,0.02158613,0.02601851,0.00001749,540268.00000000,0.08719425,0.000000,0.000000
55.10000287,0.02159386,0.00848352,0.00001193,544878.00000000,0.02391205,0.000000,0.000000
55.11666954,0.02164820,0.01045021,0.00001687,546646.00000000,0.03800384,0.000000,0.000000
55.13333621,0.02168220,0.01323789,0.00001352,549012.00000000,0.03195042,0.000000,0.000000
55.15000288,0.02166575,0.00958875,0.00000467,547668.00000000,0.01668107,0.000000,0.000000
55.16666954,0.02175575,0.01330538,0.00001470,549608.00000000,0.04911683,0.000000,0.000000
55.18333621,0.02175916,0.01513200,0.00000193,550578.00000000,0.02279973,0.000000,0.000000
55.20000288,0.02171723,0.00396239,0.00000327,554204.00000000,0.00888698,0.000000,0.000000
55.21666955,0.02168561,0.00597474,0.00000353,555909.00000000,0.01197670,0.000000,0.000000
55.23333621,0.02166258,0.00528040,0.00000702,558207.00000000,0.01457062,0.000000,0.000000
55.25000288,0.02162594,0.00503753,0.00000382,560245.00000000,0.01030298,0.000000,0.000000
55.26666955,0.02166693,0.01764879,0.00000479,561993.00000000,0.03437416,0.000000,0.000000
55.28333622,0.02172445,0.02144921,0.00000450,566456.00000000,0.03961224,0.000000,0.000000
55.30000288,0.02170826,0.00868874,0.00000675,571714.00000000,0.01665757,0.000000,0.000000
55.31666955,0.02169482,0.01013291,0.00000437,573418.00000000,0.01748857,0.000000,0.000000
55.33333622,0.02167468,0.00801516,0.00000524,575838.00000000,0.01535237,0.000000,0.000000
55.35000289,0.02166930,0.00780388,0.00001057,577904.00000000,0.01997196,0.000000,0.000000
55.36666955,0.02187949,0.03248391,0.00001037,579628.00000000,0.08830088,0.000000,0.000000
55.38333622,0.02203381,0.03289279,0.00000926,584892.00000000,0.07095272,0.000000,0.000000
55.40000289,0.02203105,0.00812247,0.00001024,590001.00000000,0.02115413,0.000000,0.000000
55.41666956,0.02214754,0.03489671,0.00001304,591546.00000000,0.05930775,0.000000,0.000000
55.43333622,0.02216336,0.00953132,0.00001100,593683.00000000,0.02722596,0.000000,0.000000
55.45000289,0.02218889,0.00881765,0.00001252,595753.00000000,0.03038232,0.000000,0.000000
55.46666956,0.02233074,0.02340138,0.00001389,597565.00000000,0.06800720,0.000000,0.000000
55.48333623,0.02244576,0.02303370,0.00001128,601233.00000000,0.05959904,0.000000,0.000000
55.50000290,0.02248551,0.01130340,0.00001131,604927.00000000,0.03536452,0.000000,0.000000
55.51666956,0.02255279,0.01834485,0.00001074,606697.00000000,0.04441833,0.000000,0.000000
55.53333623,0.02253914,0.00421188,0.00000606,603787.00000000,0.01808834,0.000000,0.000000
55.55000290,0.02249725,0.00268759,0.00000346,604018.00000000,0.00879975,0.000000,0.000000
55.56666956,0.02249816,0.00826028,0.00000290,605528.00000000,0.02279624,0.000000,0.000000
55.58333623,0.02250291,0.01142151,0.00000212,610079.00000000,0.02406475,0.000000,0.000000
55.60000290,0.02248132,0.00532207,0.00000572,615146.00000000,0.01535584,0.000000,0.000000
55.61666957,0.02246553,0.00669057,0.00000386,616908.00000000,0.01723903,0.000000,0.000000
55.63333624,0.02244374,0.00538761,0.00000520,619255.00000000,0.01521131,0.000000,0.000000
55.65000290,0.02250999,0.01170373,0.00002169,621228.00000000,0.04457046,0.000000,0.000000
55.66666957,0.02251838,0.01257785,0.00000270,622739.00000000,0.02532117,0.000000,0.000000
55.68333624,0.02254580,0.01152633,0.00000511,626621.00000000,0.03173191,0.000000,0.000000
55.70000290,0.02251110,0.00439565,0.00000304,630623.00000000,0.01085273,0.000000,0.000000
55.71666957,0.02251295,0.00855516,0.00000541,632344.00000000,0.02313422,0.000000,0.000000
55.73333624,0.02256652,0.01118572,0.00001336,634674.00000000,0.04067423,0.000000,0.000000
55.75000291,0.02261894,0.01000023,0.00001322,636721.00000000,0.04038962,0.000000,0.000000
55.76666958,0.02277763,0.03468906,0.00001049,638617.00000000,0.07673340,0.000000,0.000000
55.78333624,0.02284981,0.01719105,0.00000879,641028.00000000,0.04746327,0.000000,0.000000
55.80000291,0.02283858,0.00881648,0.00001025,644884.00000000,0.01899709,0.000000,0.000000
55.81666958,0.02292083,0.01518708,0.00001230,646372.00000000,0.05113158,0.000000,0.000000
55.83333624,0.02297551,0.01177842,0.00001290,648824.00000000,0.04178514,0.000000,0.000000
55.85000291,0.02298395,0.01069825,0.00001146,650876.00000000,0.02589775,0.000000,0.000000
55.86666958,0.02303217,0.01895958,0.00000539,650562.00000000,0.03971600,0.000000,0.000000
55.88333625,0.02308152,0.01727338,0.00000558,655558.00000000,0.04020335,0.000000,0.000000
55.90000292,0.02309782,0.00669027,0.00001465,661018.00000000,0.02877294,0.000000,0.000000
55.91666958,0.02310827,0.00984142,0.00000813,662622.00000000,0.02675499,0.000000,0.000000
55.93333625,0.02313146,0.00787279,0.00001283,665045.00000000,0.03124806,0.000000,0.000000
55.95000292,0.02330888,0.04704096,0.00002516,667126.00000000,0.08558379,0.000000,0.000000
55.96666959,0.02332884,0.01380158,0.00000464,667014.00000000,0.03035197,0.000000,0.000000
55.98333625,0.02333720,0.01242051,0.00000425,671135.00000000,0.02629112,0.000000,0.000000
56.00000292,0.02330300,0.00422095,0.00000458,675491.00000000,0.01119386,0.000000,0.000000
56.01666959,0.02330262,0.01012508,0.00000748,677214.00000000,0.02316749,0.000000,0.000000
56.03333626,0.02332334,0.01276535,0.00001194,679579.00000000,0.03070084,0.000000,0.000000
56.05000292,0.02340668,0.01205105,0.00002969,681625.00000000,0.05316043,0.000000,0.000000
56.06666959,0.02360876,0.03296009,0.00001910,683560.00000000,0.09595331,0.000000,0.000000
56.08333626,0.02386373,0.03803988,0.00002029,687581.00000000,0.11539461,0.000000,0.000000
56.10000293,0.02387768,0.01251893,0.00001254,692298.00000000,0.02890288,0.000000,0.000000
56.11666959,0.02397141,0.01728291,0.00002093,694019.00000000,0.05780481,0.000000,0.000000
56.13333626,0.02406668,0.01439538,0.00002378,696460.00000000,0.05855611,0.000000,0.000000
56.15000293,0.02413125,0.01304814,0.00002326,698469.00000000,0.04757051,0.000000,0.000000
56.16666960,0.02450699,0.08307100,0.00001775,700151.00000000,0.16127431,0.000000,0.000000
56.18333626,0.02460518,0.04063152,0.00000328,699902.00000000,0.06044501,0.000000,0.000000
56.20000293,0.02457596,0.00914082,0.00000263,706051.00000000,0.01388211,0.000000,0.000000
56.21666960,0.02456079,0.01210583,0.00000332,707287.00000000,0.01899446,0.000000,0.000000
56.23333627,0.02458366,0.00413323,0.00002038,709676.00000000,0.03300065,0.000000,0.000000
56.25000293,0.02455317,0.00528895,0.00000608,711723.00000000,0.01330024,0.000000,0.000000
56.26666960,0.02460847,0.02245783,0.00000733,713442.00000000,0.04507086,0.000000,0.000000
56.28333627,0.02469600,0.01789996,0.00000733,717439.00000000,0.05717002,0.000000,0.000000
56.30000294,0.02467425,0.00787198,0.00000588,721203.00000000,0.01658075,0.000000,0.000000
56.31666960,0.02473027,0.02117566,0.00001300,722894.00000000,0.04562755,0.000000,0.000000
56.33333627,0.02472666,0.01407854,0.00000520,723799.00000000,0.02337632,0.000000,0.000000
56.35000294,0.02471970,0.00975510,0.00000679,725889.00000000,0.02211114,0.000000,0.000000
56.36666961,0.02476317,0.02042576,0.00000582,727031.00000000,0.04110767,0.000000,0.000000
56.38333627,0.02480623,0.02496109,0.00000391,730512.00000000,0.04104030,0.000000,0.000000
56.40000294,0.02476585,0.00521929,0.00000211,734726.00000000,0.00950004,0.000000,0.000000
56.41666961,0.02474974,0.00642451,0.00000578,736349.00000000,0.01864330,0.000000,0.000000
56.43333628,0.02471092,0.00556392,0.00000193,738673.00000000,0.00996195,0.000000,0.000000
56.45000294,0.02467565,0.00567697,0.00000366,740768.00000000,0.01123778,0.000000,0.000000
56.46666961,0.02483694,0.05247837,0.00000725,742432.00000000,0.08644882,0.000000,0.000000
56.48333628,0.02495547,0.04114803,0.00000598,747675.00000000,0.07035020,0.000000,0.000000
56.50000295,0.02493215,0.00711113,0.00000736,754043.00000000,0.01597827,0.000000,0.000000
56.51666961,0.02495710,0.02304004,0.00000666,755695.00000000,0.03456177,0.000000,0.000000
56.53333628,0.02499790,0.00545558,0.00002210,756545.00000000,0.04074808,0.000000,0.000000
56.55000295,0.02497483,0.00596451,0.00000738,758630.00000000,0.01604760,0.000000,0.000000
56.56666962,0.02501987,0.01126225,0.00001014,760482.00000000,0.04249551,0.000000,0.000000
56.58333628,0.02504654,0.01053389,0.00000649,764013.00000000,0.03542069,0.000000,0.000000
56.60000295,0.02502705,0.00735188,0.00000733,768136.00000000,0.01742528,0.000000,0.000000
56.61666962,0.02505007,0.01251985,0.00000771,769770.00000000,0.03405028,0.000000,0.000000
56.63333629,0.02511543,0.01130391,0.00001708,772053.00000000,0.05073605,0.000000,0.000000
56.65000295,0.02511865,0.00984039,0.00001025,774173.00000000,0.02638414,0.000000,0.000000
56.66666962,0.02528264,0.03427014,0.00001271,775923.00000000,0.08989541,0.000000,0.000000
56.68333629,0.02543475,0.03918687,0.00001006,778859.00000000,0.08552042,0.000000,0.000000
56.70000296,0.02544316,0.00838470,0.00001221,783518.00000000,0.02877105,0.000000,0.000000
56.71666963,0.02546565,0.01089742,0.00001136,785232.00000000,0.03439617,0.000000,0.000000
56.73333629,0.02548955,0.00870588,0.00001116,787449.00000000,0.03500048,0.000000,0.000000
